Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
ఆసీస్‌ మ్యాచ్‌లో శతకంతో ఫామ్‌లోకి వచ్చిన శిఖర్‌ ధావన్‌ జట్టుకు దూరం కావడం భార త్‌కు పెద్ద ఎదురుదెబ్బే.,neg,sad,no,no
"రాహుల్‌, రోహిత్‌తో పాటుగా బరిలో దిగితే నాలుగో స్థానం ఎంపిక క్లిష్టంగా మారనుంది.",neg,sad,no,no
"రోహిత్‌ ఆసీస్‌ మ్యాచ్‌లోనూ ఫామ్‌ కొనసాగించడం, కెప్టెన్‌ కోహ్లి భారీ ఇన్నింగ్స్‌తో ధావన్‌ లేకున్నా టాపా ర్డర్‌ పటిష్టంగానే కనిపిస్తోంది.",pos,no,no,no
రాహుల్‌ ఓపె నింగ్‌లో వస్తే మిడిల్‌ బలహీన పడే అవకాశం ఉంది.,neg,sad,no,no
"ధోనీ, పాండ్య మినహా రెండు మ్యాచ్‌ లోనూ జాదవ్‌, జడేజాతో పాటుగా లోయర్‌ ఆర్డర్‌ బ్యాటింగ్‌ చేసింది లేదు.",neg,no,no,no
బౌలింగ్‌లోనూ టీమిండియా మంచి ఫామ్‌లో ఉంది.,pos,happy,no,no
ఆసీస్‌ కట్టడి చేయడంలో భువీ కీలక పాత్ర పోషిం చాడు.,pos,no,no,no
వరుసగా రెండు విజయాలు సాధించినా కోహ్లిసేన న్యూజి లాండ్‌ను తక్కువగా తీసుకోవ డానికి లేదు.,pos,happy,no,no
భారత్‌లానే కివీస్‌ సౖౖెతం ఇప్పటి వరకూ ఓటమి లేకుండా వరుసగా మూడు విజయాలతో పాయింట్ల పట్టికలో టాప్‌లో ఉంది.,pos,happy,no,no
అందు లోనూ వార్మప్‌ మ్యాచ్‌లో భారత్‌ను న్యూజిలాండ్‌ చిత్తుగా ఓడించిన విషయం తెలిసిందే.,neg,sad,no,no
న్యూజిలాండ్‌ బౌలర్లు తొలి మ్యాచ్‌లో శ్రీలంకను 136 పరు గులకే కుప్ప కూల్చారు.,neg,sad,no,yes
"కివీస్‌ ఓపెనర్లు గప్టిల్‌, మన్రో ధాటిగా ఆడగలరు.",pos,no,no,no
నాటింగ్‌హామ్‌ ప్రాంతంలో కురుస్తున్న వర్షాలు మ్యాచ్‌కు అంతరాయం కలిగించే అవకాశం ఉంది.,neg,sad,no,no
ఆ మ్యాచ్‌ టికెట్ల ఆదాయం విరాళానికే...,pos,no,no,no
గత నెలలో జరిగిన పుల్వామా దాడిని ఇప్పటికీ భారత ప్రజలు మర్చిపోలేకపోతున్నారు.,neg,sad,no,no
ఈ ఘటనలో ప్రాణాలు కోల్పోయిన 41మంది జవాన్ల కుటుంబాలకు అండగా నిలిచేందుకు విరాళాలు ఇస్తూనే ఉన్నారు.,neg,sad,no,no
ఇందులో భాగంగా టీమిండియా మాజీ కెప్టెన్‌ మహేంద్ర సింగ్‌ ధోనీ సారథ్యంలోని చెన్నై సూపర్‌ కింగ్స్‌(సీఎస్కే) కూడా తన వంతు సాయం చేయడానికి ముందుకు వచ్చింది.,pos,no,no,no
ఈ మ్యాచ్‌ టికెట్ల ద్వారా వచ్చిన ఆదాయాన్ని పుల్వామా దాడిలో అమరులైన వీర జవాన్ల కుటుంబాలకు విరాళంగా ఇవ్వనున్నట్లు సీఎస్కే ప్రకటించింది.,pos,no,no,no
టీమిండియా మిడిలార్డర్‌ ఫాంలోకి రావడం శుభపరిణామం.,pos,happy,no,no
ధోనీ- జాదవ్‌లు కలిసి 141 పరుగుల భాగస్వామ్యాన్ని నెలకొల్పడంతో పాటు మ్యాచ్‌ను గెలిపించడంలో కీలక పాత్ర పోషించారు.,pos,happy,no,no
మరోవైపు రంజీల్లో ఆడిన రవీంద్ర జడేజా కూడా బాగానే రాణించాడు.,pos,no,no,no
"తనదైన రోజున శనివారం వైస్‌కెప్టెన్‌ రోహిత్‌ శర్మ బౌలర్లకు చుక్కలు చూపించగా, తరువాత వచ్చిన కెప్టెన్‌ విరాట్‌ కోహ్లి 44 పరుగులు చేసి కీలకమైన భాగస్వామ్యాన్ని నెలకొల్పాడు.",pos,no,no,no
ఇదే గనుక మరో సారి రిపీట్‌ అయితే నాగపూర్‌లో పరుగుల వరద ఖాయం.,pos,no,no,no
"మొదటి మ్యాచ్‌లో అంబటిరాయుడు విఫలమైనా, అతడికి టీం మేనేజ్‌మెంట్‌ నుంచి మంచి సహకారం ఉంది.",pos,no,no,no
ఇక శనివారం జరిగిన మ్యాచ్‌లో 81 పరుగులతో అజేయంగా నిలిచిన మహారాష్ట్ర బ్యాట్స్‌మేన్‌ కేదార్‌ జాదవ్‌ను ఆరోస్థానంలో పంపే అవకాశం ఉంది.,pos,happy,no,no
ఈ పరుగులతో ధోనీలో ఇంకా సత్తా ఉందని మేనేజ్‌మెంట్‌కు తెలిసింది.,pos,no,no,no
ఒకవేళ భారత్‌ టాప్‌ ఆర్డర్‌ విఫలమైన పక్షంలో ధోనీ-జాదవ్‌ జోడీ మిడిలార్డర్‌లో ఆదుకునే అవకాశం ఉంది.,neg,sad,no,no
అతడి బౌలింగ్‌తో ఆసీస్‌ ఆటగాళ్లను ముప్పతిప్పలు పెట్టాడు.,neg,sad,no,no
మరో సీమర్‌ మొహ్మద్‌ షమి కూడా ఎంతటి భయంకరమైన బౌలరో ఆసీస్‌ టీంకు తెలిసింది.,neg,fear,no,no
"ఓపెనర్‌ ఉస్మాన్‌ ఖవాజా, గ్లెన్‌ మ్యాక్స్‌వెల్‌, ఆల్‌రౌండర్‌ మెర్కస్‌ స్టోనియస్‌ పెద్ద స్కోరును దృష్టిలో పెట్టుకుని త్వరగా తమ వికెట్లను చేజార్చుకోవడం ఆస్ట్రేలియాను కలవరపెడుతోంది.",neg,sad,no,no
ఎంసీజీ ప్రేక్షకులకు సీఏ హెచ్చరిక.,neg,angry,yes,no
మరోసారి ఇలా చేస్తే శిక్ష తప్పదని పేర్కొంది.,neg,angry,no,no
