Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
ఆసీస్‌ మ్యాచ్‌లో శతకంతో ఫామ్‌లోకి వచ్చిన శిఖర్‌ ధావన్‌ జట్టుకు దూరం కావడం భార త్‌కు పెద్ద ఎదురుదెబ్బే.,neg,sad,no,no
"రాహుల్‌, రోహిత్‌తో పాటుగా బరిలో దిగితే నాలుగో స్థానం ఎంపిక క్లిష్టంగా మారనుంది.",neg,sad,no,no
రాహుల్‌ ఓపె నింగ్‌లో వస్తే మిడిల్‌ బలహీన పడే అవకాశం ఉంది.,neg,sad,no,no
బౌలింగ్‌లోనూ టీమిండియా మంచి ఫామ్‌లో ఉంది.,pos,happy,no,no
దీంతో కుల్దీప్‌ను పక్కన పెట్టవచ్చు.,neutral,sad,no,no
వరుసగా రెండు విజయాలు సాధించినా కోహ్లిసేన న్యూజి లాండ్‌ను తక్కువగా తీసుకోవ డానికి లేదు.,pos,happy,no,no
భారత్‌లానే కివీస్‌ సౖౖెతం ఇప్పటి వరకూ ఓటమి లేకుండా వరుసగా మూడు విజయాలతో పాయింట్ల పట్టికలో టాప్‌లో ఉంది.,pos,happy,no,no
అందు లోనూ వార్మప్‌ మ్యాచ్‌లో భారత్‌ను న్యూజిలాండ్‌ చిత్తుగా ఓడించిన విషయం తెలిసిందే.,neg,sad,no,no
న్యూజిలాండ్‌ బౌలర్లు తొలి మ్యాచ్‌లో శ్రీలంకను 136 పరు గులకే కుప్ప కూల్చారు.,neg,sad,no,yes
నాటింగ్‌హామ్‌ ప్రాంతంలో కురుస్తున్న వర్షాలు మ్యాచ్‌కు అంతరాయం కలిగించే అవకాశం ఉంది.,neg,sad,no,no
గత నెలలో జరిగిన పుల్వామా దాడిని ఇప్పటికీ భారత ప్రజలు మర్చిపోలేకపోతున్నారు.,neg,sad,no,no
ఈ ఘటనలో ప్రాణాలు కోల్పోయిన 41మంది జవాన్ల కుటుంబాలకు అండగా నిలిచేందుకు విరాళాలు ఇస్తూనే ఉన్నారు.,neg,sad,no,no
టీమిండియా మిడిలార్డర్‌ ఫాంలోకి రావడం శుభపరిణామం.,pos,happy,no,no
ధోనీ- జాదవ్‌లు కలిసి 141 పరుగుల భాగస్వామ్యాన్ని నెలకొల్పడంతో పాటు మ్యాచ్‌ను గెలిపించడంలో కీలక పాత్ర పోషించారు.,pos,happy,no,no
ఇక శనివారం జరిగిన మ్యాచ్‌లో 81 పరుగులతో అజేయంగా నిలిచిన మహారాష్ట్ర బ్యాట్స్‌మేన్‌ కేదార్‌ జాదవ్‌ను ఆరోస్థానంలో పంపే అవకాశం ఉంది.,pos,happy,no,no
ఒకవేళ భారత్‌ టాప్‌ ఆర్డర్‌ విఫలమైన పక్షంలో ధోనీ-జాదవ్‌ జోడీ మిడిలార్డర్‌లో ఆదుకునే అవకాశం ఉంది.,neg,sad,no,no
అతడి బౌలింగ్‌తో ఆసీస్‌ ఆటగాళ్లను ముప్పతిప్పలు పెట్టాడు.,neg,sad,no,no
మరో సీమర్‌ మొహ్మద్‌ షమి కూడా ఎంతటి భయంకరమైన బౌలరో ఆసీస్‌ టీంకు తెలిసింది.,neg,fear,no,no
"ఓపెనర్‌ ఉస్మాన్‌ ఖవాజా, గ్లెన్‌ మ్యాక్స్‌వెల్‌, ఆల్‌రౌండర్‌ మెర్కస్‌ స్టోనియస్‌ పెద్ద స్కోరును దృష్టిలో పెట్టుకుని త్వరగా తమ వికెట్లను చేజార్చుకోవడం ఆస్ట్రేలియాను కలవరపెడుతోంది.",neg,sad,no,no
ఎంసీజీ ప్రేక్షకులకు సీఏ హెచ్చరిక.,neg,angry,yes,no
మరోసారి ఇలా చేస్తే శిక్ష తప్పదని పేర్కొంది.,neg,angry,no,no
ఆసీస్‌తో జరుగుతున్న మూడో టెస్టులో కోహ్లిసేన ఆధిక్యంలో కొనసాగుతోంది.,pos,happy,no,no
అభిమానులు తమ ప్రవర్తనను అదుపులో ఉంచుకోవాలని క్రికెట్‌ ఆస్ట్రేలియా సూచించింది.,neg,angry,no,no
ప్రవేశ నిబంధనల ప్రకారం పద్ధతిగా నడుచుకోవాలని హెచ్చరించారు’ అని సీఏ అధికార ప్రతినిధి తెలిపారు.,neg,angry,no,no
టీమిండియా సారథి విరాట్‌ కోహ్లి తొలి ఇన్నింగ్స్‌లో 82 పరుగుల వద్ద ఔటైనప్పుడు ఇలాగే అసభ్యకరంగా నినాదాలు వినిపించాయి.,neg,sad,yes,no
భారత క్రికెటర్లనే కాక వారి సొంత ఆటగాళ్లనూ హేళన చేశారు.,neg,sad,yes,no
ఆస్ట్రేలియా జట్టులో పీటర్‌ హ్యాండ్స్‌కాంబ్‌ స్థానంలో తుది జట్టులోకి ఎంపికైన మిచెల్‌ మార్ష్‌ను సైతం అభిమానులు ఇలాగే అవమానించారు.,neg,sad,yes,no
ఆతిథ్య ఇంగ్లండ్‌తో జరుగుతోన్న చివరి టెస్టులో భారత్‌ ఓటమిపాలైంది.,neg,sad,no,no
4-1 తేడాతో సిరీస్‌ను చేజార్చుకుంది.,neutral,sad,no,no
ఈ తరుణంలో భారత్‌ స్వల్ప వ్యవధిలో రెండు కీలక వికెట్లు కోల్పోయింది.,neg,sad,no,no
ఆచితూచి నెమ్మదిగా ఆడుతోన్న రహానె(37)ను మొయిన్‌ అలీ బోల్తా కొట్టించాడు.,neg,sad,no,no
దీంతో కేఎల్‌ రాహుల్‌-రహానె భాగస్వామ్యానికి తెరపడినట్లైంది.,neg,sad,no,no
37వ ఓవర్లో స్టోక్స్‌ వేసిన నాలుగో బంతిని ఎదుర్కొన్న విహారి వికెట్‌ కీపర్‌ బెయిర్‌స్టోకు క్యాచ్‌ ఇచ్చి ఔటయ్యాడు.,neg,sad,no,no
6 బంతులు ఎదుర్కొన్న విహారి ఒక్క పరుగు కూడా చేయలేదు.,neg,sad,no,no
